Panic disorder,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness","Antidepressant medications, Cognitive Behavioral Therapy, Relaxation Techniques"
Vocal cord polyp,"Hoarseness, Vocal Changes, Vocal Fatigue","Voice Rest, Speech Therapy, Surgical Removal"
Turner syndrome,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema","Growth hormone therapy, Estrogen replacement therapy, Cardiac and renal evaluations"
Cryptorchidism,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)","Observation and monitoring (in cases of mild or transient cryptorchidism), hormone therapy (to stimulate testicular descent), surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum, if necessary, performed around the age of 6 to 12 months, open or laparoscopic surgery (in cases of high or persistent cryptorchidism), testicular prostheses (in cases of absent or non-functional testicles), regular follow-up visits with a urologist or pediatric surgeon"
Ethylene glycol poisoning-1,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
Ethylene glycol poisoning-2,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures","Blood tests, Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
Ethylene glycol poisoning-3,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
Atrophic vaginitis,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse","Vaginal moisturizers, Vaginal estrogen therapy, Lifestyle modifications"
Fracture,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function","Immobilization, Surgery, Rehabilitation"
Cellulitis,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","Antibiotics, Warm compresses, immobilization, rest, Pain management"
Eye alignment disorder,"Double vision, Eye fatigue, Poor depth perception, Head tilting","Glasses, Patching therapy, Vision therapy, Botox injections, Surgical intervention"
Headache after lumbar puncture,throbbing headache,"Epidural blood patch, Conservative measures"
Pyloric stenosis,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness ","Ultrasound, Blood tests, Pyloromyotomy"
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling","Surgery, Radiation therapy"
Pleomorphic adenoma,"Painless lump or swelling, Facial changes",Surgical excision
Warthin tumor,"Painless lump or swelling, Facial changes",Surgical excision
Mucoepidermoid carcinoma,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis ","Surgery, Radiation therapy"
Acinic cell carcinoma,"Lump, swelling, Facial changes","Surgery, Radiation therapy"
Mucocele,Painless fluid-filled swelling in the oral cavity,"Observation, Surgical removal if necessary"
Osteochondrosis,"Joint pain, stiffness, swelling, reduced range of motion","Physical therapy, pain medications, rest, surgery"
Sialolithiasis,"Swelling, pain, tenderness, difficulty eating","Warm compresses, Saliva stimulation, Sialagogues, Stone removal "
Submandibular stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal"
Parotid stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal"
Recurrent salivary stones,Frequent episodes of stone formation,"Hydration,Saliva stimulation, Stone removal"
Wharton's duct stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal"
Mumps,"Swollen salivary glands (usually parotid), fever, headache, fatigue","Supportive care, pain relievers, isolation, vaccination (MMR)"
Ludwig's angina,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","Intravenous antibiotics, airway management, surgical drainage"
Mucocele,"Painless swelling, usually on the lower lip or floor of the mouth","Observation, surgical removal if necessary"
Abscess,"Swelling, pain, redness, fever, pus formation","Antibiotics, surgical drainage"
Sjögren's syndrome,"Dry mouth and eyes, fatigue, joint pain, dry skin","Symptomatic relief with artificial tears, saliva substitutes, frequent sips of water, medications to stimulate saliva production, immune-modulating drugs"
Open-Angle Glaucoma,"Gradual loss of peripheral vision, tunnel vision","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
Angle-Closure Glaucoma,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","Medications (e.g., oral or intravenous acetazolamide, topical beta blockers, alpha agonists, prostaglandin analogs), laser peripheral iridotomy, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
Normal-Tension Glaucoma,"Gradual loss of vision, visual field defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
Congenital Glaucoma,"Cloudy or hazy eyes, excessive tearing, sensitivity to light","Surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure"
Secondary Glaucoma,Varies depending on the underlying cause,"Treatment of the underlying condition (e.g., medication adjustments, surgery, trauma management, tumor removal, inflammation control)"
Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
Exfoliation Glaucoma,"Elevated intraocular pressure, visual field loss","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
Ocular Hypertension,Elevated intraocular pressure without optic nerve damage,"Observation with regular eye exams, use of eye drops to lower intraocular pressure (if necessary)"
Low-Tension Glaucoma,"Gradual loss of vision, visual field defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image","Medical monitoring, nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medications (in some cases), hospitalization (for severe cases), support groups"
Bulimia Nervosa,Recurrent episodes of binge eating followed by purging behaviors,"Psychotherapy (such as cognitive-behavioral therapy or dialectical behavior therapy), nutritional counseling, medications (in some cases), support groups"
Binge Eating Disorder,Recurrent episodes of binge eating without compensatory behaviors,"Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), nutritional counseling, medications (in some cases), support groups"
Avoidant/Restrictive Food Intake Disorder (ARFID),"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight","Nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medical monitoring, exposure therapy, occupational therapy"
Other Specified Feeding or Eating Disorder (OSFED),Symptoms that do not meet the full criteria for a specific eating disorder,"Treatment is based on the specific symptoms and can include a combination of psychotherapy, nutritional counseling, medical monitoring, and medications as necessary"
Orthorexia Nervosa,"Obsessive focus on ""clean"" eating, healthy food choices","Psychotherapy (such as cognitive-behavioral therapy or acceptance and commitment therapy), nutrition education, challenging distorted beliefs, addressing underlying issues"
Pica,Persistent consumption of non-food substances,"Behavioral therapy, addressing underlying nutritional deficiencies, addressing any medical complications, family support"
Rumination Disorder,Repeated regurgitation and re-chewing of food,"Behavioral therapy (such as diaphragmatic breathing techniques), biofeedback, addressing any underlying psychological or medical conditions, dietary modifications"
Transient ischemic attack,Sudden onset of neurological symptoms that resolve within 24 hours,"Antiplatelet medications, Carotid endarterectomy,  Anticoagulant medications, Lifestyle modifications"
Pyelonephritis,"Fever, chills, back or flank pain, frequent urination","Antibiotics (such as fluoroquinolones, cephalosporins, or trimethoprim-sulfamethoxazole) to target the specific bacteria causing the infection, adequate hydration, pain management (such as over-the-counter pain relievers or prescription medications), hospitalization (for severe cases or complications), urine culture to guide antibiotic therapy"
Rotator Cuff Injury,"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness","Non-surgical treatment options: Rest, ice or heat therapy, pain medications, physical therapy exercises, Arthroscopic surgery"
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances","Medications (such as pain relievers, antidepressants, anticonvulsants), physical therapy, cognitive-behavioral therapy, stress management techniques, exercise, relaxation techniques, good sleep hygiene"
Chronic Fatigue Syndrome,"Extreme fatigue, cognitive difficulties, unrefreshing sleep","Symptom management (such as medications to address pain, sleep disturbances, and other symptoms), graded exercise therapy, cognitive-behavioral therapy, sleep management techniques, pacing and energy conservation, stress reduction techniques, nutritional support, medications for specific symptoms"
Complex Regional Pain Syndrome (CRPS),"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness","Medications (such as pain relievers, corticosteroids, anticonvulsants), physical therapy, sympathetic nerve blocks, spinal cord stimulation, occupational therapy, mirror therapy, psychotherapy, graded motor imagery, stress management techniques"
Myofascial Pain Syndrome,"Localized muscle pain, trigger points","Physical therapy, trigger point injections, dry needling, medications (such as pain relievers, muscle relaxants), relaxation techniques, stress management, massage therapy, myofascial release, heat or cold therapy"
Chronic Migraine,"Recurrent, disabling migraines","Medications (such as preventive medications, pain relievers, triptans), lifestyle modifications (such as identifying triggers, stress management, regular sleep patterns), relaxation techniques, biofeedback, cognitive-behavioral therapy, nerve blocks, Botox injections, neuromodulation devices, acupuncture"
Neuropathic Pain,"Shooting or burning pain, tingling or numbness","Medications (such as antidepressants, anticonvulsants, topical treatments), nerve blocks, spinal cord stimulation, physical therapy, occupational therapy, transcutaneous electrical nerve stimulation (TENS), acupuncture, cognitive-behavioral therapy, relaxation techniques"
Gestational Diabetes,High blood sugar levels during pregnancy,"Blood sugar monitoring, healthy diet modifications, regular exercise, insulin injections (if needed), close monitoring by healthcare provider"
